"days","likes","shares","reads"
"31/12/2018",1312,0,0
"31/10/2018",1855,0,0
"31/08/2019",4834,805,51791
"31/08/2018",2224,0,0
"31/07/2019",2850,1114,0
"31/07/2018",2149,0,0
"31/05/2019",1581,1547,0
"31/03/2019",1536,1359,0
"31/01/2019",1909,0,0
"30/12/2018",1759,0,0
"30/11/2018",1748,0,0
"30/10/2018",2317,0,0
"30/09/2018",3153,0,0
"30/08/2019",4127,661,49113
"30/08/2018",2091,0,0
"30/07/2019",2460,1152,0
"30/07/2018",2202,0,0
"30/06/2019",1662,1793,0
"30/06/2018",1276,0,0
"30/05/2019",1509,1750,0
"30/04/2019",1178,1829,0
"30/03/2019",1676,1479,0
"30/01/2019",1623,0,0
"29/12/2018",2011,0,0
"29/11/2018",2030,0,0
"29/10/2018",2239,0,0
"29/09/2018",2072,0,0
"29/08/2019",4046,726,45566
"29/08/2018",2588,0,0
"29/07/2019",2876,1175,0
"29/07/2018",2047,0,0
"29/06/2019",1896,1686,0
"29/06/2018",1309,0,0
"29/05/2019",1531,1671,0
"29/04/2019",1235,1386,0
"29/03/2019",1451,1360,0
"29/01/2019",1782,0,0
"28/12/2018",1942,0,0
"28/11/2018",1761,0,0
"28/10/2018",2501,0,0
"28/09/2018",2265,0,0
"28/08/2019",3777,740,49900
"28/08/2018",2242,0,0
"28/07/2019",3177,1150,0
"28/07/2018",2040,0,0
"28/06/2019",1409,1838,0
"28/06/2018",1471,0,0
"28/05/2019",1466,1546,0
"28/04/2019",1190,1713,0
"28/03/2019",1543,1606,0
"28/02/2019",1819,0,0
"28/01/2019",1683,0,0
"27/12/2018",1855,0,0
"27/11/2018",1800,0,0
"27/10/2018",2371,0,0
"27/09/2018",2126,0,0
"27/08/2019",4191,783,50628
"27/08/2018",2032,0,0
"27/07/2019",2847,1267,0
"27/07/2018",1987,0,0
"27/06/2019",1932,1833,0
"27/06/2018",1166,0,0
"27/05/2019",1352,1481,0
"27/04/2019",1182,1584,0
"27/03/2019",1545,1477,0
"27/02/2019",1555,0,0
"27/01/2019",1735,0,0
"26/12/2018",1455,0,0
"26/11/2018",1888,0,0
"26/10/2018",1663,0,0
"26/09/2018",2753,0,0
"26/08/2019",3335,649,46476
"26/08/2018",1670,0,0
"26/07/2019",2482,1139,0
"26/07/2018",1572,0,0
"26/06/2019",2011,1813,0
"26/06/2018",1372,0,0
"26/05/2019",1351,1684,0
"26/04/2019",1130,1162,0
"26/03/2019",1700,1504,0
"26/02/2019",1728,0,0
"26/01/2019",1943,0,0
"25/12/2018",1541,0,0
"25/11/2018",1687,0,0
"25/10/2018",1849,0,0
"25/09/2018",2635,0,0
"25/08/2019",4300,898,55227
"25/08/2018",2485,0,0
"25/07/2019",2238,1088,0
"25/07/2018",1530,0,0
"25/06/2019",1850,1824,0
"25/06/2018",1848,0,0
"25/05/2019",1384,1835,0
"25/04/2019",1121,1554,0
"25/03/2019",2056,1526,0
"25/02/2019",2223,0,0
"25/01/2019",1847,0,0
"24/12/2018",1470,0,0
"24/11/2018",1997,0,0
"24/10/2018",2201,0,0
"24/09/2018",2431,0,0
"24/08/2019",4175,781,48280
"24/08/2018",1804,0,0
"24/07/2019",2115,1176,0
"24/07/2018",1732,0,0
"24/06/2019",2069,1693,0
"24/06/2018",1574,0,0
"24/05/2019",1341,1552,0
"24/04/2019",1109,1692,0
"24/03/2019",2035,1594,0
"24/02/2019",2408,0,0
"24/01/2019",1778,0,0
"23/12/2018",1635,0,0
"23/11/2018",1543,0,0
"23/10/2018",1829,0,0
"23/09/2018",2555,0,0
"23/08/2019",3902,827,52399
"23/08/2018",2028,0,0
"23/07/2019",2411,1173,0
"23/07/2018",1790,0,0
"23/06/2019",2272,1930,0
"23/06/2018",1466,0,0
"23/05/2019",1360,1736,0
"23/04/2019",1096,1425,0
"23/03/2019",1633,1496,0
"23/02/2019",2252,0,0
"23/01/2019",1728,0,0
"22/12/2018",1361,0,0
"22/11/2018",1647,0,0
"22/10/2018",2141,0,0
"22/09/2018",3254,0,0
"22/08/2019",4429,797,51787
"22/08/2018",2137,0,0
"22/07/2019",1967,1198,0
"22/07/2018",1521,0,0
"22/06/2019",1932,1805,0
"22/06/2018",1361,0,0
"22/05/2019",1523,1585,0
"22/04/2019",1255,1491,0
"22/03/2019",1786,1228,0
"22/02/2019",2035,0,0
"22/01/2019",1492,0,0
"21/12/2018",1271,0,0
"21/11/2018",1545,0,0
"21/10/2018",2329,0,0
"21/09/2018",2250,0,0
"21/08/2019",4799,812,55820
"21/08/2018",2720,0,0
"21/07/2019",2266,1323,0
"21/07/2018",1561,0,0
"21/06/2019",1707,1668,0
"21/06/2018",1430,0,0
"21/05/2019",1317,1543,0
"21/04/2019",1099,1725,0
"21/03/2019",1557,929,0
"21/02/2019",2020,0,0
"21/01/2019",1694,0,0
"20/12/2018",1537,0,0
"20/11/2018",1921,0,0
"20/10/2018",2835,0,0
"20/09/2018",2727,0,0
"20/08/2019",4815,750,54255
"20/08/2018",2183,0,0
"20/07/2019",2217,1298,0
"20/07/2018",1464,0,0
"20/06/2019",2282,1866,0
"20/06/2018",1119,0,0
"20/05/2019",1271,1623,0
"20/04/2019",1051,1784,0
"20/03/2019",1557,874,0
"20/02/2019",2498,0,0
"20/01/2019",1969,0,0
"19/12/2018",1275,0,0
"19/11/2018",1710,0,0
"19/10/2018",1562,0,0
"19/09/2018",2210,0,0
"19/08/2019",4143,706,48554
"19/08/2018",2825,0,0
"19/07/2019",1849,1608,0
"19/07/2018",1363,0,0
"19/06/2019",1826,1718,0
"19/06/2018",1330,0,0
"19/05/2019",1225,1381,0
"19/04/2019",1129,1882,0
"19/03/2019",2151,971,0
"19/02/2019",2199,0,0
"19/01/2019",1743,0,0
"18/12/2018",1588,0,0
"18/11/2018",1734,0,0
"18/10/2018",2090,0,0
"18/09/2018",3015,0,0
"18/08/2019",4648,818,57001
"18/08/2018",2081,0,0
"18/07/2019",1614,1681,0
"18/07/2018",1292,0,0
"18/06/2019",1800,1759,0
"18/06/2018",1638,0,0
