id,featured,format_name,lang,verified,views,shares,likes
1,1,poem,en,Verified,5,5,300
2,1,musing,en,Verified,1,1,179
3,1,140,en,Verified,4,1,175
4,1,140,en,Verified,1,2,372
5,1,140,en,Verified,2,1,149
6,1,140,en,Verified,1,2,213
7,1,140,en,Verified,1,2,492
8,1,musing,en,Verified,2,2,600
9,1,140,en,Verified,2,2,320
10,1,140,en,Verified,1,1,154
11,1,140,en,Verified,4,4,157
12,1,musing,en,Verified,1,2,209
13,1,wordrobe,en,Verified,1,3,77
14,1,140,en,Verified,1,2,153
15,1,wordrobe,en,Verified,2,3,357
16,1,140,en,Verified,1,2,163
17,1,140,en,Verified,5,1,550
18,1,poem,en,Verified,4,1,131
19,1,140,en,Verified,7,1,381
20,1,140,en,Verified,2,2,96
21,1,140,en,Verified,2,2,280
22,1,140,en,Verified,2,2,580
23,1,140,en,Not Verified,3,2,313
24,1,musing,en,Verified,1,1,188
25,1,open letter,en,Verified,8,2,677
26,1,140,en,Not Verified,2,2,483
27,1,musing,en,Verified,2,2,264
28,1,open letter,en,Verified,4,12,912
29,1,140,en,Verified,23,14,530
30,1,musing,en,Verified,7,5,467
31,1,140,en,Verified,2,5,469
32,1,musing,en,Verified,1,2,466
33,1,140,en,Verified,7,1,483
34,1,140,en,Verified,3,1,922
35,1,140,en,Verified,2,1,251
36,1,140,en,Verified,1,2,808
37,1,140,en,Verified,3,2,879
38,1,140,en,Verified,6,4,459
39,1,musing,en,Verified,1,1,442
40,1,140,en,Verified,4,1,401
41,1,musing,en,Verified,3,1,1059
42,1,140,en,Verified,1,2,27
43,1,140,en,Verified,6,1,38
44,1,140,en,Verified,2,2,45
45,1,140,en,Verified,2,2,35
46,1,140,en,Verified,1,1,63
47,1,140,en,Verified,1,2,30
48,1,140,en,Verified,3,2,30
49,1,140,en,Verified,1,4,46
50,1,140,en,Verified,1,1,42
51,1,140,en,Verified,1,3,103
52,1,140,en,Verified,2,2,57
53,1,140,en,Verified,1,2,14
54,1,140,en,Verified,23,5,59
55,1,140,en,Verified,2,6,88
56,1,140,en,Verified,4,3,55
57,1,140,en,Verified,3,2,81
58,1,140,en,Verified,1,2,30
59,1,140,en,Verified,4,1,35
60,1,140,en,Verified,3,1,44
61,1,140,en,Verified,4,1,37
62,1,140,en,Verified,2,4,40
63,1,140,en,Verified,4,2,50
64,1,140,en,Verified,3,3,24
65,1,140,en,Verified,6,4,38
66,1,140,en,Verified,2,4,67
67,1,140,en,Verified,2,1,35
68,1,140,en,Verified,2,1,29
69,1,140,en,Verified,2,2,25
70,1,140,en,Verified,5,1,37
71,1,140,en,Verified,3,2,72
72,1,140,en,Verified,3,1,40
73,1,140,en,Verified,3,1,31
74,1,140,en,Verified,3,1,36
75,1,140,en,Verified,2,3,66
76,1,140,en,Verified,1,1,28
77,1,140,en,Verified,3,2,24
78,1,140,en,Verified,1,2,109
79,1,140,en,Verified,11,2,72
80,1,140,en,Verified,3,1,57
81,1,140,en,Verified,1,1,35
82,1,140,en,Verified,2,2,371
83,1,poem,en,Verified,2,4,483
84,1,musing,en,Verified,5,1,403
85,1,musing,en,Verified,3,3,856
86,1,musing,en,Verified,2,2,366
87,1,musing,en,Verified,2,2,181
88,1,open letter,en,Verified,1,2,259
89,1,poem,en,Verified,3,2,126
90,1,musing,en,Verified,2,1,325
91,1,musing,en,Verified,3,2,295
92,1,140,en,Verified,4,1,777
93,1,musing,en,Verified,1,1,198
94,1,musing,en,Verified,1,1,436
95,1,musing,en,Verified,1,5,325
96,1,musing,en,Verified,1,2,690
97,1,musing,en,Verified,1,2,387
98,1,rant,en,Verified,3,2,425
99,1,musing,en,Verified,5,4,468
100,1,musing,en,Verified,3,2,289
101,1,musing,en,Verified,2,3,1081
102,1,140,en,Verified,2,2,679
103,1,musing,en,Verified,4,1,908
104,1,musing,en,Verified,1,3,299
105,1,musing,en,Verified,3,1,145
106,1,140,en,Verified,1,1,286
107,1,bubble,en,Verified,2,1,960
108,1,musing,en,Verified,1,2,221
109,1,musing,en,Verified,1,2,247
110,1,poem,en,Verified,3,1,443
111,1,bubble,en,Verified,3,7,333
112,1,musing,en,Verified,2,2,306
113,1,musing,en,Verified,1,3,196
114,1,musing,en,Verified,9,3,505
115,1,poem,en,Verified,3,1,502
116,1,140,en,Verified,3,2,426
117,1,140,en,Not Verified,2,2,594
118,1,rant,en,Verified,2,2,215
119,1,140,en,Verified,4,2,437
120,1,musing,en,Verified,3,2,961
121,1,musing,en,Verified,4,1,258
122,1,140,en,Verified,9,1,375
123,1,140,en,Verified,7,5,462
124,1,poem,en,Verified,3,2,180
125,1,140,en,Verified,1,1,362
126,1,poem,en,Verified,2,2,134
127,1,musing,en,Verified,1,1,261
128,1,musing,en,Verified,2,1,347
129,1,musing,en,Verified,4,1,380
130,1,140,en,Verified,8,2,278
131,1,140,en,Not Verified,3,1,359
132,1,poem,en,Verified,3,1,315
133,1,musing,en,Verified,2,2,259
134,1,poem,en,Verified,1,2,205
135,1,musing,en,Verified,2,2,344
136,1,musing,en,Verified,2,2,176
137,1,musing,en,Verified,5,1,360
138,1,140,en,Verified,5,3,621
139,1,140,en,Verified,1,2,554
140,1,bubble,en,Verified,2,1,441
141,1,musing,en,Verified,2,1,291
142,1,musing,en,Verified,1,1,160
143,1,poem,en,Verified,3,1,530
144,1,140,en,Not Verified,4,1,762
145,1,140,en,Verified,5,2,417
146,1,musing,en,Verified,5,1,83
147,1,140,en,Not Verified,5,1,117
148,1,short story,en,Verified,7,2,335
149,1,musing,en,Verified,2,2,360
150,1,140,en,Verified,6,2,331
151,1,bubble,en,Verified,3,1,317
