days,likes,shares,reads,week_day
31/12/18,1312,0,0,1
31/10/18,1855,0,0,2
31/08/19,4834,805,51791,3
31/08/18,2224,0,0,4
31/07/19,2850,1114,0,5
31/07/18,2149,0,0,6
31/05/19,1581,1547,0,7
31/03/19,1536,1359,0,1
31/01/19,1909,0,0,2
30/12/18,1759,0,0,3
30/11/18,1748,0,0,4
30/10/18,2317,0,0,5
30/09/18,3153,0,0,6
30/08/19,4127,661,49113,7
30/08/18,2091,0,0,1
30/07/19,2460,1152,0,2
30/07/18,2202,0,0,3
30/06/19,1662,1793,0,4
30/06/18,1276,0,0,5
30/05/19,1509,1750,0,6
30/04/19,1178,1829,0,7
30/03/19,1676,1479,0,1
30/01/19,1623,0,0,2
29/12/18,2011,0,0,3
29/11/18,2030,0,0,4
29/10/18,2239,0,0,5
29/09/18,2072,0,0,6
29/08/19,4046,726,45566,7
29/08/18,2588,0,0,1
29/07/19,2876,1175,0,2
29/07/18,2047,0,0,3
29/06/19,1896,1686,0,4
29/06/18,1309,0,0,5
29/05/19,1531,1671,0,6
29/04/19,1235,1386,0,7
29/03/19,1451,1360,0,1
29/01/19,1782,0,0,2
28/12/18,1942,0,0,3
28/11/18,1761,0,0,4
28/10/18,2501,0,0,5
28/09/18,2265,0,0,6
28/08/19,3777,740,49900,7
28/08/18,2242,0,0,1
28/07/19,3177,1150,0,2
28/07/18,2040,0,0,3
28/06/19,1409,1838,0,4
28/06/18,1471,0,0,5
28/05/19,1466,1546,0,6
28/04/19,1190,1713,0,7
28/03/19,1543,1606,0,
28/02/19,1819,0,0,1
28/01/19,1683,0,0,2
27/12/18,1855,0,0,3
27/11/18,1800,0,0,4
27/10/18,2371,0,0,5
27/09/18,2126,0,0,6
27/08/19,4191,783,50628,7
27/08/18,2032,0,0,1
27/07/19,2847,1267,0,2
27/07/18,1987,0,0,3
27/06/19,1932,1833,0,4
27/06/18,1166,0,0,5
27/05/19,1352,1481,0,6
27/04/19,1182,1584,0,7
27/03/19,1545,1477,0,1
27/02/19,1555,0,0,2
27/01/19,1735,0,0,3
26/12/18,1455,0,0,4
26/11/18,1888,0,0,5
26/10/18,1663,0,0,6
26/09/18,2753,0,0,7
26/08/19,3335,649,46476,1
26/08/18,1670,0,0,2
26/07/19,2482,1139,0,3
26/07/18,1572,0,0,4
26/06/19,2011,1813,0,5
26/06/18,1372,0,0,6
26/05/19,1351,1684,0,7
26/04/19,1130,1162,0,1
26/03/19,1700,1504,0,2
26/02/19,1728,0,0,3
26/01/19,1943,0,0,4
25/12/18,1541,0,0,5
25/11/18,1687,0,0,6
25/10/18,1849,0,0,7
25/09/18,2635,0,0,1
25/08/19,4300,898,55227,2
25/08/18,2485,0,0,3
25/07/19,2238,1088,0,4
25/07/18,1530,0,0,5
25/06/19,1850,1824,0,6
25/06/18,1848,0,0,7
25/05/19,1384,1835,0,1
25/04/19,1121,1554,0,2
25/03/19,2056,1526,0,3
25/02/19,2223,0,0,4
25/01/19,1847,0,0,5
24/12/18,1470,0,0,6
24/11/18,1997,0,0,7
24/10/18,2201,0,0,1
24/09/18,2431,0,0,2
24/08/19,4175,781,48280,3
24/08/18,1804,0,0,4
24/07/19,2115,1176,0,5
24/07/18,1732,0,0,6
24/06/19,2069,1693,0,7
24/06/18,1574,0,0,1
24/05/19,1341,1552,0,2
24/04/19,1109,1692,0,3
24/03/19,2035,1594,0,4
24/02/19,2408,0,0,5
24/01/19,1778,0,0,6
23/12/18,1635,0,0,7
23/11/18,1543,0,0,1
23/10/18,1829,0,0,2
23/09/18,2555,0,0,3
23/08/19,3902,827,52399,4
23/08/18,2028,0,0,5
23/07/19,2411,1173,0,6
23/07/18,1790,0,0,7
23/06/19,2272,1930,0,1
23/06/18,1466,0,0,2
23/05/19,1360,1736,0,3
23/04/19,1096,1425,0,4
23/03/19,1633,1496,0,5
23/02/19,2252,0,0,6
23/01/19,1728,0,0,7
22/12/18,1361,0,0,1
22/11/18,1647,0,0,2
22/10/18,2141,0,0,3
22/09/18,3254,0,0,4
22/08/19,4429,797,51787,5
22/08/18,2137,0,0,6
22/07/19,1967,1198,0,7
22/07/18,1521,0,0,1
22/06/19,1932,1805,0,2
22/06/18,1361,0,0,3
22/05/19,1523,1585,0,4
22/04/19,1255,1491,0,5
22/03/19,1786,1228,0,6
22/02/19,2035,0,0,7
22/01/19,1492,0,0,1
21/12/18,1271,0,0,2
21/11/18,1545,0,0,3
21/10/18,2329,0,0,4
21/09/18,2250,0,0,5
21/08/19,4799,812,55820,6
21/08/18,2720,0,0,7
21/07/19,2266,1323,0,1
21/07/18,1561,0,0,2
21/06/19,1707,1668,0,3
21/06/18,1430,0,0,4
21/05/19,1317,1543,0,5
21/04/19,1099,1725,0,6
21/03/19,1557,929,0,7
21/02/19,2020,0,0,1
21/01/19,1694,0,0,2
20/12/18,1537,0,0,3
20/11/18,1921,0,0,4
20/10/18,2835,0,0,5
20/09/18,2727,0,0,6
20/08/19,4815,750,54255,7
20/08/18,2183,0,0,1
20/07/19,2217,1298,0,2
20/07/18,1464,0,0,3
20/06/19,2282,1866,0,4
20/06/18,1119,0,0,5
20/05/19,1271,1623,0,6
20/04/19,1051,1784,0,7
20/03/19,1557,874,0,1
20/02/19,2498,0,0,2
20/01/19,1969,0,0,3
19/12/18,1275,0,0,4
19/11/18,1710,0,0,5
19/10/18,1562,0,0,6
19/09/18,2210,0,0,7
19/08/19,4143,706,48554,1
19/08/18,2825,0,0,2
19/07/19,1849,1608,0,3
19/07/18,1363,0,0,4
19/06/19,1826,1718,0,5
19/06/18,1330,0,0,6
19/05/19,1225,1381,0,7
19/04/19,1129,1882,0,1
19/03/19,2151,971,0,2
19/02/19,2199,0,0,3
19/01/19,1743,0,0,4
18/12/18,1588,0,0,5
18/11/18,1734,0,0,6
18/10/18,2090,0,0,7
18/09/18,3015,0,0,1
18/08/19,4648,818,57001,2
18/08/18,2081,0,0,3
18/07/19,1614,1681,0,4
18/07/18,1292,0,0,5
18/06/19,1800,1759,0,6
18/06/18,1638,0,0,7
18/05/19,1165,1368,0,1
18/04/19,1346,2038,0,2
18/03/19,1742,1098,0,3
18/02/19,1947,0,0,4
18/01/19,1669,0,0,5
17/12/18,1134,0,0,6
17/11/18,1603,0,0,7
17/10/18,1970,0,0,1
